Feature Identification Number,Census Tract,Area in Square Miles,MENI Equity Need Tier,Percentile for MENI,EFC Designation,Total Households,Total Population,Total Low-Income Households,Percent Low-Income Households,Percentile for Low-Income Households,Total Zero-Vehicle Households,Percent Zero-Vehicle Households,Percentile for Zero-Vehicle Households,Total BIPOC Population,Percent BIPOC Population,Percentile for BIPOC Population,Percentile for Low-Income and Zero Vehicle Households,Percentile for Low-Income Households and BIPOC Population,LA County Subregional Boundaries,LA County Supervisorial Districts,City Name,Community Name,City/Community Name,Census Designated Place,Jurisdiction Type,Shape__Area,Shape__Length
2146,06037433601,0.432225,Moderate Need,54.7,Non-EFC,1331,5482,541,40.65,44.7,65,4.88,40.7,5332,97.26,83.6,41.9,66.2,San Gabriel Valley,1,Rosemead, ,Rosemead,Rosemead,Incorporated City,1635450.21875,5300.77923923464
2147,06037535606,0.0720346,High Need,76,EFC,465,2143,215,46.24,55.9,86,18.49,88.4,2099,97.95,86.7,75.8,74.3,Gateway Cities,4,South Gate, ,South Gate,South Gate,Incorporated City,271805.171875,2759.54725747469
2148,06037576601,0.146471,High Need,60.1,EFC,2577,3758,1346,52.23,66.2,338,13.12,78.4,1739,46.27,19.8,75.9,41.1,Gateway Cities,4,Long Beach, ,Long Beach,Long Beach,Incorporated City,550357.47265625,4291.48927001963
2149,06037900704,2.00027,High Need,77.8,EFC,1502,3055,1008,67.11,89.5,168,11.19,72.6,2398,78.49,45.3,83.7,69.7,North Los Angeles County,5,Lancaster, ,Lancaster,Lancaster,Incorporated City,7675491.96484375,11805.1505570302
2150,06037920119,1.92753,Very Low Need,2.7,Non-EFC,485,1844,74,15.26,3.5,4,0.82,6.8,811,43.98,18.3,2.1,6.7,North Los Angeles County,5, ,Santa Clarita Valley,Santa Clarita Valley,Castaic,Unincorporated Area,7362111.44921875,12056.2372691651
2151,06037113102,1.40804,Very Low Need,3.5,Non-EFC,957,2783,142,14.84,3.1,21,2.19,18.5,978,35.14,10.7,7.3,3.4,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,5352557.79296875,9122.0939600993
2152,06037502004,0.518302,Moderate Need,44.5,Non-EFC,964,4284,400,41.49,46.7,18,1.87,15.5,4082,95.28,76,28.3,62.7,Gateway Cities,4,Whittier, ,Whittier,Whittier,Incorporated City,1956293.31640625,6453.42590331741
2153,06037431502,0.785235,Moderate Need,47.1,Non-EFC,1356,4138,604,44.54,53.1,59,4.35,36.6,3368,81.39,48,44.7,49.6,San Gabriel Valley,5, ,South Monrovia Islands,South Monrovia Islands,North El Monte,Unincorporated Area,2973616.97265625,8280.97598891022
2154,06037187101,0.305267,Low Need,28.5,Non-EFC,1217,3213,397,32.62,28.8,61,5.01,41.7,2024,62.99,32.1,33.2,27.7,Central Los Angeles,1,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1156371.796875,4757.24782709415
2155,06037533601,0.212447,Very High Need,81.2,EFC,1152,4674,648,56.25,73.2,122,10.59,70.5,4552,97.39,84.2,75.5,83.1,Gateway Cities,4,Bell, ,Bell,Bell,Incorporated City,802230.578125,4506.50161693448
2156,06037980015,2.06064,Excluded,,Excluded,444,993,0,0,,0,0,,0,0,,,,South Bay,4,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,7744500.875,12866.6449510415
2157,06037577604,0.598743,Very Low Need,6.1,Non-EFC,789,1632,217,27.5,18.7,6,0.76,6.2,392,24.02,3.9,8.8,7.2,Gateway Cities,4,Long Beach, ,Long Beach,Long Beach,Incorporated City,2249132.94140625,10534.6849320642
2158,06037132502,0.244428,High Need,62.1,EFC,1249,3358,725,58.05,75.8,104,8.33,61.3,1723,51.31,23.7,72.2,48.5,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,927550.69921875,4029.17767116924
2159,06037212702,0.338489,Low Need,37.7,Non-EFC,1457,3630,565,38.78,41,66,4.53,38.4,2575,70.94,39.1,38.7,38,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1280515.30078125,4947.6216451798
2160,06037239202,0.492287,Very High Need,95.4,EFC,1215,6442,789,64.94,86.8,208,17.12,86.4,6435,99.89,98.5,89.1,97,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1859173.734375,5817.33448559782
2161,06037231100,0.343888,Very High Need,95.9,EFC,672,3374,540,80.36,98.8,194,28.87,96,3130,92.77,69.3,98.5,88.7,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1299621.66796875,4739.6903881973
2162,06037702502,0.703304,Low Need,21.7,Non-EFC,2137,3818,596,27.89,19.3,119,5.57,45.3,1867,48.9,21.7,29.7,17.1,Westside Cities,2,Culver City, ,Culver City,Culver City,Incorporated City,2657835.38671875,9352.93125016429
2163,06037191000,0.247128,Moderate Need,56,Non-EFC,2811,4817,1233,43.86,51.1,464,16.51,85.2,2922,60.66,30.4,71.6,38.7,Central Los Angeles,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,935820.0703125,4107.71016553443
2164,06037101110,0.442966,Moderate Need,42,Non-EFC,1505,3923,657,43.65,50.7,112,7.44,57.1,1530,39,14.3,55.3,29.7,San Fernando Valley,5,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1683673.25390625,5460.9587037497
2165,06037275603,0.397657,Low Need,36.8,Non-EFC,1240,2864,430,34.68,32.7,114,9.19,65.6,1525,53.25,24.8,50,25.8,Westside Cities,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1501814.66796875,6190.65765255166
2166,06037221402,0.206513,Very High Need,85.6,EFC,945,3188,602,63.7,85.1,191,20.21,90.5,2854,89.52,61.2,90.1,76.8,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,780876.640625,4726.18017429154
2167,06037199400,0.276116,Very High Need,85.2,EFC,1515,4857,924,60.99,80.8,199,13.14,78.4,4663,96.01,78.4,82.2,83.9,Central Los Angeles,1,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1045306.90625,6050.61917152602
2168,06037701702,0.233383,Moderate Need,56.7,Non-EFC,1677,3201,775,46.21,55.9,314,18.72,88.7,1505,47.02,20.3,75.9,35.7,Westside Cities,3,Santa Monica, ,Santa Monica,Santa Monica,Incorporated City,882158.2109375,4530.13964206177
2169,06037432101,0.451336,Very Low Need,12.8,Non-EFC,1350,4204,301,22.3,10.5,10,0.74,5.9,3396,80.78,47.3,4.4,26,San Gabriel Valley,5,Temple City, ,Temple City,Temple City,Incorporated City,1708910.234375,5527.08935512556
2170,06037302503,0.125938,High Need,63.7,EFC,1409,4066,790,56.07,73,265,18.81,88.9,1459,35.88,11.2,83.7,39.9,Arroyo Verdugo,5,Glendale, ,Glendale,Glendale,Incorporated City,477310.328125,3669.46609812193
2171,06037296402,0.402706,Low Need,20,Non-EFC,1130,3142,336,29.73,23.2,33,2.92,25.3,1999,63.62,32.6,20,24.5,South Bay,4,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1512446.21875,6113.92565930772
2172,06037115103,0.582836,Excluded,,Excluded,11,3181,0,0,,0,0,,0,0,,,,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,2214495.68359375,8176.9197603606
2173,06037111205,0.448807,Very Low Need,13.9,Non-EFC,1327,3905,365,27.51,18.7,17,1.28,10.9,2450,62.74,31.9,11.1,21.8,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1705638.44140625,5425.51462731242
2174,06037910002,28.0182,Moderate Need,58.7,Non-EFC,1996,8081,1036,51.9,65.7,123,6.16,49,6130,75.86,42.5,60.1,54.5,North Los Angeles County,5, ,Antelope Valley,Antelope Valley,,Unincorporated Area,107189299.042969,48292.0465969777
2175,06037409100,0.606509,Moderate Need,55,Non-EFC,1381,5403,582,42.14,48,83,6.01,48.2,5028,93.06,69.8,48.5,59.9,San Gabriel Valley,1, ,Hacienda Heights,Hacienda Heights,Hacienda Heights,Unincorporated Area,2291801.07421875,8791.85266915461
2176,06037242202,0.155959,Very High Need,99.7,EFC,723,2816,584,80.77,98.8,180,24.9,94.3,2809,99.75,97.6,97.7,99.7,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,588458.66796875,4160.36700684197
2177,06037403409,1.81836,Low Need,28.7,Non-EFC,1353,4474,397,29.34,22.4,59,4.36,36.7,3762,84.09,52.2,26.4,35.1,San Gabriel Valley,1,Walnut, ,Walnut,Walnut,Incorporated City,6877430.11328125,13963.7916444981
2178,06037214505,0.0534802,Excluded,,Excluded,786,1307,0,0,,0,0,,0,0,,,,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,202366.4921875,2509.78045051797
2179,06037211124,0.151655,Very High Need,89.9,EFC,2063,4806,1241,60.16,79.6,394,19.1,89.2,4698,97.75,85.9,87.1,87.4,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,573819.41015625,3008.42237673108
2180,06037432502,0.683334,Moderate Need,46.4,Non-EFC,912,3969,335,36.73,37.1,39,4.28,35.8,3811,96.02,78.5,34.8,58.6,San Gabriel Valley,1,El Monte, ,El Monte,El Monte,Incorporated City,2587328.484375,7701.91752206939
2181,06037190102,0.145251,Moderate Need,53.1,Non-EFC,1465,2716,755,51.54,65,120,8.19,60.5,1172,43.15,17.7,66,39.4,Central Los Angeles,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,549992.1171875,3232.10262196559
2182,06037297400,0.779985,Low Need,34.2,Non-EFC,1669,3183,720,43.14,49.8,87,5.21,43.3,880,27.65,6.2,46.9,24.6,South Bay,4,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,2927950.65625,7406.59092615516
2183,06037650501,0.384261,Very Low Need,11.7,Non-EFC,967,2850,203,20.99,9.1,29,3,26,1610,56.49,27.3,13.4,14.6,South Bay,4,Torrance, ,Torrance,Torrance,Incorporated City,1446757.1953125,4968.62540214079
2184,06037576700,0.266548,Low Need,24.8,Non-EFC,1939,4015,652,33.63,31,93,4.8,40.2,1615,40.22,15.2,33.6,19.7,Gateway Cities,4,Long Beach, ,Long Beach,Long Beach,Incorporated City,1001502.22265625,4096.7791908306
2185,06037291220,0.317723,High Need,68.3,EFC,1108,3451,543,49.01,60.9,96,8.66,62.6,3264,94.58,73.6,65,69.4,South Bay,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1196886.234375,4470.88280887002
2186,06037575101,0.163373,Very High Need,80.5,EFC,1516,4231,917,60.49,80,253,16.69,85.6,3732,88.21,58.8,85.4,72.1,Gateway Cities,4,Long Beach, ,Long Beach,Long Beach,Incorporated City,614170.87890625,3693.25239281326
2187,06037500203,0.725538,Very Low Need,2.9,Non-EFC,1223,4230,201,16.43,4.5,11,0.9,7.5,1761,41.63,16.6,2.8,6.4,Gateway Cities,4,Whittier, ,Whittier,Whittier,Incorporated City,2737538,8344.93340057008
2188,06037554801,0.34903,Moderate Need,49.5,Non-EFC,739,2964,349,47.23,57.6,15,2.03,16.8,2709,91.4,65.4,35.7,62.8,Gateway Cities,4,Artesia, ,Artesia,Artesia,Incorporated City,1314813.109375,5430.39135973146
2189,06037554522,0.842697,Very Low Need,15,Non-EFC,1495,5104,254,16.99,4.8,25,1.67,14.1,4540,88.95,60,5.7,29.6,Gateway Cities,4,Cerritos, ,Cerritos,Cerritos,Incorporated City,3172686.62890625,7596.17001158842
2190,06037600100,0.292188,Very High Need,98,EFC,2193,7419,1540,70.22,93,398,18.15,87.9,7394,99.66,97.1,92.9,98.5,South Bay,2, ,West Athens - Westmont,West Athens - Westmont,Westmont,Unincorporated Area,1102692.59375,4546.39104090656
2191,06037570001,0.590257,Low Need,24.4,Non-EFC,1540,5017,473,30.71,24.8,53,3.44,29.6,3545,70.66,38.8,23.4,29.1,Gateway Cities,4,Lakewood, ,Lakewood,Lakewood,Incorporated City,2222835.5390625,6389.1717543347
2192,06037603102,0.287428,High Need,63.3,EFC,1167,3418,546,46.79,56.9,82,7.03,54,3187,93.24,70.3,57.5,65.5,South Bay,2,Gardena, ,Gardena,Gardena,Incorporated City,1082766.2265625,4180.85098382793
2193,06037291130,0.498416,High Need,60.5,EFC,981,3458,381,38.84,41.1,100,10.19,68.9,3330,96.3,79.5,56.8,61.3,South Bay,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1878675.73828125,5782.84965482727
2194,06037602103,0.322313,Very High Need,93.7,EFC,1709,5574,1341,78.47,98.3,168,9.83,68,5426,97.34,83.9,85.8,96.1,South Bay,2,Hawthorne, ,Hawthorne,Hawthorne,Incorporated City,1215623.8671875,4391.94221713027
2195,06037501802,0.302599,Moderate Need,55.5,Non-EFC,1216,3281,523,43.01,49.5,130,10.69,70.8,2586,78.82,45.6,63.4,45.9,Gateway Cities,4,Whittier, ,Whittier,Whittier,Incorporated City,1142324.58984375,5125.32488489485
2196,06037553902,0.405032,High Need,65.3,EFC,1490,5629,816,54.77,70.8,66,4.43,37.5,5190,92.2,67.6,55.7,71.7,Gateway Cities,4,Paramount, ,Paramount,Paramount,Incorporated City,1526073.64453125,5366.67782050794
2197,06037218400,0.250377,Moderate Need,55.3,Non-EFC,1413,4699,581,41.12,45.7,141,9.98,68.5,4027,85.7,54.6,59.9,49.2,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,946705.66015625,4478.91213828832
2198,06037216100,0.260175,Very Low Need,12.6,Non-EFC,964,2086,280,29.05,21.4,9,0.93,7.8,1058,50.72,23.2,11,19.1,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,984211.50390625,4101.44004880631
2199,06037432300,0.767306,High Need,70.2,EFC,1106,4063,614,55.52,71.9,82,7.41,57,3696,90.97,64.4,67.8,70.8,San Gabriel Valley,1,El Monte, ,El Monte,El Monte,Incorporated City,2904662.48046875,7666.75886201903
2200,06037480704,0.417135,Low Need,24.1,Non-EFC,1764,4191,476,26.98,17.8,96,5.44,44.7,2846,67.91,36.2,28.5,23.4,Arroyo Verdugo,5,South Pasadena, ,South Pasadena,South Pasadena,Incorporated City,1579780.54296875,6417.01284881041
2201,06037141201,0.270615,Very Low Need,17.6,Non-EFC,2160,4201,700,32.41,28.3,69,3.19,27.3,1363,32.44,9.3,24.3,15,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1026008.1640625,4448.30520557275
2202,06037462201,0.207179,High Need,78.9,EFC,1965,3883,1277,64.99,86.8,621,31.6,97.3,2479,63.84,32.9,94.2,60.9,Arroyo Verdugo,5,Pasadena, ,Pasadena,Pasadena,Incorporated City,785537.26171875,3571.70949158567
2203,06037261102,3.06469,Very Low Need,3.5,Non-EFC,1487,3630,257,17.28,5.1,37,2.49,21,458,12.62,0.4,9.5,0.9,Westside Cities,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,11608699.2265625,18906.9632225066
2204,06037910405,0.925591,Very High Need,90.9,EFC,1546,5563,1183,76.52,97.3,188,12.16,75.6,5155,92.67,68.8,88.9,87.6,North Los Angeles County,5,Palmdale, ,Palmdale,Palmdale,Incorporated City,3544893.12109375,7625.113827861
2205,06037901218,4.05692,Very Low Need,2.1,Non-EFC,699,2629,34,4.86,0,9,1.29,11.1,1182,44.96,19.1,2.6,5.5,North Los Angeles County,5,Palmdale, ,Palmdale,Palmdale,Incorporated City,15556465.9296875,16037.3135060446
2206,06037800338,2.45078,Very Low Need,2.1,Non-EFC,2039,6143,258,12.65,1.5,40,1.96,16.1,2067,33.65,9.9,5.3,2.8,Las Virgenes/Malibu,3,Agoura Hills, ,Agoura Hills,Agoura Hills,Incorporated City,9293492.12890625,15983.6701335487
2207,06037550801,0.614884,Moderate Need,44.4,Non-EFC,1545,4939,672,43.5,50.4,73,4.72,39.7,3871,78.38,44.9,44.9,46,Gateway Cities,4,Downey, ,Downey,Downey,Incorporated City,2320283.08984375,6279.7521871326
2208,06037408503,1.62789,Very Low Need,12.6,Non-EFC,1933,6626,404,20.9,9,12,0.62,4.6,5491,82.87,50.2,3.3,26.8,San Gabriel Valley,1, ,Hacienda Heights,Hacienda Heights,Hacienda Heights,Unincorporated Area,6147870.20703125,13798.5892705842
2209,06037980031,9.9933,Excluded,,Excluded,22,1237,0,0,,0,0,,0,0,,,,South Bay,4,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,37522756.0820313,29292.6066348894
2210,06037577700,0.488387,Moderate Need,58.2,Non-EFC,1214,4516,456,37.56,38.2,99,8.15,60.5,4416,97.79,86,50.2,63.7,Gateway Cities,4,Long Beach, ,Long Beach,Long Beach,Incorporated City,1837287.671875,6953.4015111991
2211,06037543803,0.295859,Low Need,34.4,Non-EFC,1268,3969,394,31.07,25.4,52,4.1,34.6,3662,92.27,67.8,26.9,44.9,South Bay,2,Carson, ,Carson,Carson,Incorporated City,1113319.44140625,5634.28805965664
2212,06037620801,0.462473,Very Low Need,2.7,Non-EFC,1396,4167,285,20.42,8.2,0,0,0,1667,40,15.1,1.5,7.4,South Bay,2,Manhattan Beach, ,Manhattan Beach,Manhattan Beach,Incorporated City,1742302.6171875,5774.50926064413
2213,06037113424,0.672216,Moderate Need,46.8,Non-EFC,1065,3493,383,35.96,35.3,137,12.86,77.5,2476,70.88,39,59,35,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,2553171.34765625,7625.00630747489
2214,06037910218,6.47556,Moderate Need,54.6,Non-EFC,1429,4338,749,52.41,66.8,75,5.25,43.6,2954,68.1,36.4,57.2,50.6,North Los Angeles County,5,Palmdale, ,Palmdale,Palmdale,Incorporated City,24822254.9101563,22194.7286143164
2215,06037601801,0.187742,Very High Need,83.7,EFC,852,2793,535,62.79,83.6,46,5.4,44.4,2788,99.82,98.1,67.1,95.9,South Bay,2,Inglewood, ,Inglewood,Inglewood,Incorporated City,708331.79296875,3875.83023988075
2216,06037501501,2.46375,Very Low Need,7.5,Non-EFC,831,2150,138,16.61,4.6,6,0.72,5.7,1462,68,36.3,2.1,17,Gateway Cities,4, ,North Whittier,North Whittier,,Unincorporated Area,9307448.171875,17097.1080797917
2217,06037430724,0.222755,Moderate Need,44.8,Non-EFC,1814,4565,711,39.2,41.7,128,7.06,54.2,3732,81.75,48.5,48.3,43.1,San Gabriel Valley,5,Arcadia, ,Arcadia,Arcadia,Incorporated City,844040.3671875,4911.3036993865
2218,06037404503,0.25313,Moderate Need,40.8,Non-EFC,785,2763,284,36.18,35.9,31,3.95,33.4,2536,91.78,66.6,32.4,50.2,San Gabriel Valley,1, ,East Irwindale,East Irwindale,Vincent,Unincorporated Area,958767.5546875,3924.92993506883
2219,06037576801,0.198698,High Need,65.4,EFC,1773,3699,934,52.68,67.2,281,15.85,84.2,2357,63.72,32.7,78.7,48.9,Gateway Cities,4,Long Beach, ,Long Beach,Long Beach,Incorporated City,746681.0078125,3651.28408874629
2220,06037571800,1.09588,Very Low Need,15.1,Non-EFC,1250,3176,324,25.92,16,48,3.84,32.5,1576,49.62,22.3,20,15.4,Gateway Cities,4,Long Beach, ,Long Beach,Long Beach,Incorporated City,4124120.71484375,9668.37037700072
2221,06037555212,0.310797,Moderate Need,49.7,Non-EFC,1385,5474,614,44.33,52.5,68,4.91,41.2,4610,84.22,52.2,47.1,51.7,Gateway Cities,4,Hawaiian Gardens, ,Hawaiian Gardens,Hawaiian Gardens,Incorporated City,1169463.55078125,5014.06034709861
2222,06037553300,0.325915,Moderate Need,50.9,Non-EFC,954,3211,443,46.44,56.3,34,3.56,30.5,2832,88.2,58.7,42.8,58.3,Gateway Cities,4,Bellflower, ,Bellflower,Bellflower,Incorporated City,1228523.76953125,5221.48617016384
2223,06037602403,0.226729,High Need,61.7,EFC,1508,4578,733,48.61,60.4,74,4.91,41.1,4292,93.75,71.7,51.9,68.3,South Bay,2,Hawthorne, ,Hawthorne,Hawthorne,Incorporated City,854817.67578125,3699.68748692252
2224,06037602404,0.249313,Very High Need,80.8,EFC,1760,5526,1100,62.5,83,163,9.26,65.9,5125,92.74,69.2,77.4,80.3,South Bay,2,Hawthorne, ,Hawthorne,Hawthorne,Incorporated City,939811.31640625,4110.08590991905
2225,06037243100,0.226143,Very High Need,97.7,EFC,1457,6090,1129,77.49,97.8,242,16.61,85.5,5977,98.14,87.6,93.8,97.1,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,852998.48828125,3885.07338588422
2226,06037294200,0.369294,Moderate Need,54.3,Non-EFC,1355,4831,531,39.19,41.6,89,6.57,51,4630,95.84,77.7,46.7,60.7,South Bay,4,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1388508.8984375,4733.92067543753
2227,06037575102,0.156598,Very High Need,90.1,EFC,1287,4066,915,71.1,94.1,163,12.67,76.9,3789,93.19,70.2,88.1,86.7,Gateway Cities,4,Long Beach, ,Long Beach,Long Beach,Incorporated City,588648.8203125,3395.77888630252
2228,06037574300,0.960929,Very Low Need,4.3,Non-EFC,2182,5942,354,16.22,4.2,56,2.57,21.6,1889,31.79,8.7,9.3,3.1,Gateway Cities,4,Long Beach, ,Long Beach,Long Beach,Incorporated City,3613416.27734375,9216.8673387478
2229,06037221220,0.253305,Very High Need,90.9,EFC,972,3227,608,62.55,83.1,209,21.5,91.9,3122,96.75,81.1,89.8,86.7,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,957925.0078125,3873.49647352307
2230,06037400602,0.588286,Low Need,30.6,Non-EFC,1339,4449,504,37.64,38.6,24,1.79,14.8,3603,80.98,47.6,23,41.3,San Gabriel Valley,1,Azusa, ,Azusa,Azusa,Incorporated City,2229674.8046875,7820.61477352947
2231,06037481902,0.339496,Moderate Need,57.7,Non-EFC,1035,3325,468,45.22,54.4,61,5.89,47.3,3046,91.61,66,52,61.2,San Gabriel Valley,1,Alhambra, ,Alhambra,Alhambra,Incorporated City,1284535.625,6494.88609694015
2232,06037191201,0.220966,High Need,73.3,EFC,1732,5088,1076,62.12,82.3,434,25.06,94.4,2849,55.99,27,90.6,54.9,Central Los Angeles,1,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,836704.4765625,3667.195462463
2233,06037143901,2.03977,Very Low Need,6.5,Non-EFC,1625,4363,338,20.8,8.7,54,3.32,28.6,885,20.28,2.2,14.6,2.6,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,7729884.2578125,14584.2052585309
2234,06037920312,5.25473,Moderate Need,43.2,Non-EFC,2122,6327,901,42.46,48.3,146,6.88,53,3667,57.96,28.3,51.7,35.9,North Los Angeles County,5,Santa Clarita, ,Santa Clarita,Santa Clarita,Incorporated City,20019395.5546875,21503.9617363294
2235,06037124500,0.316254,Low Need,35.8,Non-EFC,1198,2807,482,40.23,43.6,80,6.68,51.8,1102,39.26,14.5,48,26.2,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1199596.69921875,5180.92744921838
2236,06037125600,0.393883,Low Need,29.5,Non-EFC,1277,2963,536,41.97,47.5,27,2.11,17.7,1435,48.43,21.4,30.3,32,San Fernando Valley,5,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1493545.8984375,5446.23129548987
2237,06037540202,0.292101,Very High Need,80.3,EFC,1576,6896,1048,66.5,88.8,73,4.63,38.9,6683,96.91,82,66.9,90.2,Gateway Cities,4,Lynwood, ,Lynwood,Lynwood,Incorporated City,1101816.8203125,4585.29417820844
2238,06037551201,0.304446,High Need,66,EFC,1148,3529,587,51.13,64.3,95,8.28,61,3127,88.61,59.7,65.9,63.5,Gateway Cities,4,Downey, ,Downey,Downey,Incorporated City,1148231.0390625,4742.84513385173
2239,06037920038,0.379751,High Need,67.6,EFC,570,1658,365,64.04,85.4,38,6.67,51.5,1076,64.9,34,72,60.7,North Los Angeles County,5,Santa Clarita, ,Santa Clarita,Santa Clarita,Incorporated City,1449013.34765625,7215.88201626847
2240,06037910401,3.63581,Very Low Need,19.8,Non-EFC,1896,5625,627,33.07,29.8,13,0.69,5.1,3848,68.41,36.8,13.3,30.6,North Los Angeles County,5,Palmdale, ,Palmdale,Palmdale,Incorporated City,13922287.1796875,15011.779001361
2241,06037920015,3.30263,Very Low Need,4.7,Non-EFC,2070,6503,259,12.51,1.4,71,3.43,29.4,2056,31.62,8.6,11.7,2.3,North Los Angeles County,5,Santa Clarita, ,Santa Clarita,Santa Clarita,Incorporated City,12618180.171875,21398.1916568268
2242,06037460200,1.22768,Very Low Need,15,Non-EFC,1797,5622,485,26.99,17.9,21,1.17,10,3934,69.98,38.3,10.2,24.7,San Gabriel Valley,5, ,Altadena,Altadena,Altadena,Unincorporated Area,4659836.57421875,9812.67507384366
2243,06037134304,0.393986,Moderate Need,48.3,Non-EFC,938,2908,442,47.12,57.5,53,5.65,46.1,1872,64.37,33.6,53,43.6,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1495903.8828125,5011.35247772727
2244,06037482701,0.475582,High Need,61.3,EFC,1320,4120,528,40,43.3,120,9.09,65.1,3989,96.82,81.4,55.8,64,San Gabriel Valley,1,Monterey Park, ,Monterey Park,Monterey Park,Incorporated City,1798264.3359375,9184.42667313845
2245,06037482304,0.239904,Very High Need,92.5,EFC,815,3037,546,66.99,89.3,164,20.12,90.4,2908,95.75,77.1,92,87.8,San Gabriel Valley,1,Rosemead, ,Rosemead,Rosemead,Incorporated City,907688.796875,4714.75815809996
2246,06037530204,0.256749,High Need,63.2,EFC,1155,3940,521,45.11,54.2,52,4.5,38.2,3890,98.73,90.6,46.6,75.9,Gateway Cities,1,Montebello, ,Montebello,Montebello,Incorporated City,970393.54296875,4232.86228993664
2247,06037531701,0.245996,Very High Need,81.5,EFC,1423,6066,834,58.61,76.6,125,8.78,63.3,5919,97.58,84.9,73.6,85.4,Central Los Angeles,1, ,East Los Angeles,East Los Angeles,East Los Angeles,Unincorporated Area,929809.5078125,4233.17733772628
2248,06037408401,0.43863,Moderate Need,40.3,Non-EFC,1296,4595,499,38.5,40.1,38,2.93,25.3,4167,90.69,63.8,30.5,51.1,San Gabriel Valley,1, ,Hacienda Heights,Hacienda Heights,Hacienda Heights,Unincorporated Area,1657785.734375,6144.55234071815
2249,06037224600,0.276849,Very High Need,95.1,EFC,790,3280,517,65.44,87.5,184,23.29,93.5,3218,98.11,87.4,92.9,92.5,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1046443.453125,4123.59456673791
2250,06037218500,0.202488,Very High Need,82.4,EFC,959,2655,574,59.85,79,143,14.91,82.6,2440,91.9,66.9,83.5,76.6,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,765639.4921875,4038.11009255936
2251,06037543201,0.389377,Moderate Need,55.9,Non-EFC,859,3444,376,43.77,50.9,22,2.56,21.5,3413,99.1,93,34.4,75.4,Gateway Cities,2,Compton, ,Compton,Compton,Incorporated City,1467069.16015625,4910.7754022007
2252,06037575002,0.370744,Moderate Need,49.1,Non-EFC,1914,4583,938,49.01,61,111,5.8,46.8,2635,57.5,27.9,55.4,42.5,Gateway Cities,4,Long Beach, ,Long Beach,Long Beach,Incorporated City,1393667.84375,5439.70027779543
2253,06037113211,2.81677,Very Low Need,8.3,Non-EFC,1686,4264,425,25.21,14.8,20,1.19,10,1734,40.67,15.7,8.7,11.5,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,10707956.984375,13889.1036673763
2254,06037113231,1.60931,Very Low Need,5.2,Non-EFC,868,2275,202,23.27,11.9,9,1.04,9,835,36.7,11.8,6.9,7.6,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,6112105.7265625,15525.2664662164
